E01A;ED06C;pobrezai
2550000;Superior Universitario;No pobre
Militar/Policial (Post no universitario)00000;Técnica Superior;No pobre
3500000;No obtuvo;No pobre
0;No obtuvo;No pobre
3290000;No obtuvo;No pobre
1700000;No obtuvo;No pobre
0;No obtuvo;No pobre
3100000;Superior Universitario;No pobre
0;Superior Universitario;Pobre no extremo
1500000;No obtuvo;Pobre no extremo
2200000;No obtuvo;No pobre
1500000;Superior Universitario;No pobre
3240000;Especialización (Post universitario);No pobre
400000;Técnica Superior;Pobre extremo
0;No obtuvo;Pobre extremo
2800000;No obtuvo;No pobre
2500000;Especialización (Post universitario);No pobre
8000000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
3600000;Superior Universitario;No pobre
3250000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
3500000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
2000000;Superior Universitario;No pobre
1700000;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
1560000;No obtuvo;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
2700000;No obtuvo;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
1500000;No obtuvo;No pobre
Militar/Policial (Post no universitario)00000;No obtuvo;No pobre
950000;Superior Universitario;No pobre
7600000;Superior Universitario;No pobre
0;Superior Universitario;Pobre no extremo
1500000;No obtuvo;Pobre no extremo
0;Superior Universitario;Pobre no extremo
1700000;No obtuvo;Pobre no extremo
0;Superior Universitario;No pobre
Militar/Policial (Post no universitario)88000;No obtuvo;No pobre
0;No obtuvo;No pobre
3200000;No obtuvo;No pobre
3949000;Superior Universitario;No pobre
500000;Superior Universitario;No pobre
2400000;Superior Universitario;No pobre
3600000;Superior Universitario;No pobre
0;No obtuvo;No pobre
5400000;Superior Universitario;No pobre
2080000;Técnica Superior;No pobre
2000000;EEB (1º y 2º ciclo);No pobre
600000;EEB (3er ciclo);No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
2600000;Superior Universitario;No pobre
100000;No obtuvo;Pobre extremo
3800000;Superior Universitario;No pobre
3600000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
5000000;EEB (3er ciclo);No pobre
6No obtuvo0000;Superior Universitario;No pobre
2200000;No obtuvo;No pobre
5700000;Superior Universitario;No pobre
8000000;Especialización (Post universitario);No pobre
1550000;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
3800000;Superior Universitario;No pobre
3000000;No obtuvo;No pobre
7800000;Superior Universitario;No pobre
6000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2800000;Superior Universitario;No pobre
1500000;No obtuvo;No pobre
2000000;EEB (1º y 2º ciclo);No pobre
2300000;Superior Universitario;No pobre
360000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
2300000;Superior Universitario;No pobre
5000000;Educación Inicial;No pobre
0;EEB (1º y 2º ciclo);Pobre no extremo
0;No obtuvo;No pobre
3500000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
2800000;Superior Universitario;No pobre
1840000;Superior Universitario;No pobre
740000;No obtuvo;No pobre
6500000;Superior Universitario;No pobre
4000000;Técnica Superior;No pobre
1000000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
6000000;Superior Universitario;No pobre
3800000;Técnica Superior;No pobre
2500000;Superior Universitario;No pobre
4000000;No obtuvo;No pobre
1800000;No obtuvo;No pobre
No Técnico Superior (Post no universitario)00000;Superior Universitario;Pobre no extremo
No Técnico Superior (Post no universitario)00000;No obtuvo;No pobre
1500000;No obtuvo;No pobre
800000;EEB (1º y 2º ciclo);No pobre
1000000;Superior Universitario;No pobre
0;Técnica Superior;Pobre extremo
600000;Superior Universitario;No pobre
1530000;No obtuvo;No pobre
2250000;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
200000;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
4600000;Militar/Policial;No pobre
1750000;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
240000;Superior Universitario;No pobre
2400000;Superior Universitario;Pobre no extremo
0;Superior Universitario;Pobre no extremo
0;EEB (1º y 2º ciclo);Pobre no extremo
No Técnico Superior (Post no universitario)00000;Superior Universitario;Pobre no extremo
0;Superior Universitario;No pobre
2900000;Superior Universitario;No pobre
2300000;No obtuvo;No pobre
4000000;No obtuvo;No pobre
800000;No obtuvo;Pobre extremo
10000000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;Técnica Superior;No pobre
2800000;EEB (1º y 2º ciclo);No pobre
200000;No obtuvo;No pobre
1840000;No obtuvo;No pobre
0;No obtuvo;No pobre
0;EEB (3er ciclo);Pobre extremo
1000000;EEB (3er ciclo);No pobre
1500000;EEB (3er ciclo);No pobre
4580000;Superior Universitario;No pobre
3960000;Técnica Superior;No pobre
5880000;Educación Media;No pobre
6330000;Educación Inicial;No pobre
3600000;Técnica Superior;No pobre
2800000;EEB (1º y 2º ciclo);No pobre
4500000;Superior Universitario;No pobre
0;Técnica Superior;No pobre
0;No obtuvo;Pobre no extremo
4600000;Formación Docente (Post no universitario);No pobre
4000000;Superior Universitario;No pobre
4700000;Superior Universitario;No pobre
1810000;Técnica Superior;No pobre
5000000;No obtuvo;No pobre
0;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
Militar/Policial (Post no universitario)00000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;Técnica Superior;No pobre
0;No obtuvo;No pobre
6240000;EEB (1º y 2º ciclo);No pobre
800000;No obtuvo;No pobre
1920000;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
6280000;Superior Universitario;No pobre
5600000;Superior Universitario;No pobre
4920000;Superior Universitario;No pobre
2800000;Técnica Superior;No pobre
1000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
5500000;Superior Universitario;No pobre
3300000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
3460000;Superior Universitario;No pobre
2960000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
500000;No obtuvo;No pobre
3300000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
0;No obtuvo;Pobre no extremo
0;Técnica Superior;No pobre
6000000;Técnica Superior;No pobre
0;EEB (3er ciclo);No pobre
3000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);Pobre extremo
980000;No obtuvo;No pobre
1000000;Educación Media;No pobre
5400000;Superior Universitario;No pobre
5500000;Maestría (Post universitario);No pobre
0;No obtuvo;No pobre
800000;Superior Universitario;Pobre no extremo
2000000;No obtuvo;Pobre no extremo
0;No obtuvo;No pobre
1000000;Superior Universitario;No pobre
2000000;Técnica Superior;No pobre
0;No obtuvo;No pobre
3700000;Superior Universitario;No pobre
0;No obtuvo;No pobre
6500000;Militar/Policial;No pobre
5000000;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
1500000;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);Pobre extremo
0;No obtuvo;Pobre no extremo
0;No obtuvo;Pobre no extremo
400000;No obtuvo;No pobre
3850000;Educación Inicial;No pobre
4000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5000000;EEB (3er ciclo);No pobre
Militar/Policial (Post no universitario)00000;Superior Universitario;Pobre no extremo
0;No obtuvo;Pobre no extremo
2000000;No obtuvo;No pobre
2840000;Técnica Superior;No pobre
720000;Superior Universitario;No pobre
1800000;Especialización (Post universitario);No pobre
1800000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;Técnica Superior;Pobre no extremo
500000;No obtuvo;No pobre
200000;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
0;No obtuvo;No pobre
2000000;Técnica Superior;No pobre
Militar/Policial (Post no universitario)00000;Superior Universitario;No pobre
3200000;No obtuvo;No pobre
8000000;Maestría (Post universitario);No pobre
2000000;Superior Universitario;No pobre
2850000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2500000;No obtuvo;No pobre
0;No obtuvo;No pobre
5000000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
2000000;No obtuvo;No pobre
2550000;No obtuvo;No pobre
400000;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
1000000;No obtuvo;No pobre
800000;Técnica Superior;Pobre no extremo
2050000;Superior Universitario;No pobre
1900000;Técnica Superior;No pobre
3900000;Militar/Policial;No pobre
2790000;No obtuvo;No pobre
1800000;Superior Universitario;No pobre
3650000;Superior Universitario;No pobre
3650000;Superior Universitario;No pobre
3152000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
2000000;EEB (1º y 2º ciclo);No pobre
9800000;Superior Universitario;No pobre
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
5200000;Superior Universitario;No pobre
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
4000000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
No obtuvo081000;Superior Universitario;No pobre
8500000;Superior Universitario;No pobre
4300000;Superior Universitario;No pobre
7000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
6000000;Educación Inicial;No pobre
8000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
3000000;No obtuvo;No pobre
2500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
4000000;Educación Media;No pobre
2000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
2500000;No obtuvo;Pobre no extremo
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
3500000;Superior Universitario;No pobre
3300000;Superior Universitario;No pobre
Militar/Policial (Post no universitario)00000;Superior Universitario;No pobre
0;No obtuvo;No pobre
3000000;Especialización (Post universitario);No pobre
7000000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
2300000;Superior Universitario;No pobre
6100000;Técnica Superior;No pobre
5000000;No obtuvo;No pobre
5000000;Maestría (Post universitario);No pobre
300000;Educación Media;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
6000000;No obtuvo;No pobre
1000000;No obtuvo;No pobre
9000000;Superior Universitario;No pobre
3500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2600000;No obtuvo;No pobre
3600000;Educación Media;No pobre
0;No obtuvo;No pobre
7000000;Superior Universitario;No pobre
1700000;No obtuvo;No pobre
4960000;Superior Universitario;No pobre
0;No obtuvo;No pobre
4900000;Superior Universitario;No pobre
4900000;EEB (1º y 2º ciclo);No pobre
7000000;No obtuvo;No pobre
6500000;No obtuvo;No pobre
1000000;Superior Universitario;Pobre no extremo
1000000;No obtuvo;Pobre no extremo
4800000;Especialización (Post universitario);No pobre
2500000;Superior Universitario;No pobre
5500000;No obtuvo;No pobre
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
6000000;Superior Universitario;No pobre
6500000;Superior Universitario;No pobre
3500000;Maestría (Post universitario);No pobre
3500000;Especialización (Post universitario);No pobre
2500000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2250000;Superior Universitario;No pobre
2250000;Superior Universitario;No pobre
6000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2250000;No obtuvo;No pobre
4000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
3500000;No obtuvo;No pobre
1500000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
0;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
3350000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
2000000;No obtuvo;No pobre
9500000;Superior Universitario;No pobre
3500000;Superior Universitario;No pobre
3000000;Técnica Superior;No pobre
6583800;Superior Universitario;No pobre
2750000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
0;Técnica Superior;No pobre
0;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
5000000;EEB (1º y 2º ciclo);No pobre
0;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;Educación Inicial;No pobre
400000;Superior Universitario;No pobre
600000;No obtuvo;No pobre
600000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
500000;EEB (3er ciclo);No pobre
6350000;Superior Universitario;No pobre
2860000;Superior Universitario;No pobre
1520000;No obtuvo;No pobre
0;No obtuvo;No pobre
2500000;No obtuvo;No pobre
6600000;Superior Universitario;No pobre
1600000;Educación Inicial;No pobre
2500000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
No Técnico Superior (Post no universitario)20000;Superior Universitario;No pobre
5160000;EEB (1º y 2º ciclo);No pobre
5000000;EEB (1º y 2º ciclo);No pobre
3500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
No obtuvo00000;Superior Universitario;No pobre
0;No obtuvo;No pobre
600000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
2600000;No obtuvo;No pobre
300000;No obtuvo;Pobre no extremo
0;Superior Universitario;Pobre no extremo
3300000;No obtuvo;No pobre
3000000;No obtuvo;No pobre
2550000;No obtuvo;Pobre no extremo
3000000;Especialización (Post universitario);No pobre
0;Superior Universitario;No pobre
5300000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
2700000;Superior Universitario;No pobre
0;No obtuvo;No pobre
600000;No obtuvo;Pobre no extremo
0;EEB (1º y 2º ciclo);No pobre
1000000;Superior Universitario;No pobre
800000;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
2500000;No obtuvo;No pobre
0;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
450000;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
6600000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
7892500;Educación Media;No pobre
3240000;Superior Universitario;No pobre
3700000;Técnica Superior;No pobre
0;Técnica Superior;No pobre
5200000;Superior Universitario;No pobre
3500000;No obtuvo;No pobre
9000000;Superior Universitario;No pobre
5200000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
4900000;No obtuvo;No pobre
0;No obtuvo;No pobre
3800000;Superior Universitario;No pobre
Militar/Policial (Post no universitario)00000;Superior Universitario;No pobre
1800000;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
1500000;No obtuvo;No pobre
3290000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
4000000;Superior Universitario;No pobre
4000000;No obtuvo;No pobre
2600000;No obtuvo;No pobre
2300000;Superior Universitario;No pobre
2600000;Superior Universitario;No pobre
6400000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
3500000;No obtuvo;No pobre
8000000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2000000;Especialización (Post universitario);No pobre
0;Técnica Superior;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
6000000;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
5000000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
3200000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;Pobre extremo
650000;Especialización (Post universitario);No pobre
1800000;No obtuvo;No pobre
1600000;EEB (3er ciclo);No pobre
0;No obtuvo;No pobre
2550000;No obtuvo;No pobre
0;No obtuvo;No pobre
3000000;No obtuvo;No pobre
7000000;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
1800000;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
1000000;Superior Universitario;Pobre no extremo
0;No obtuvo;Pobre no extremo
2Militar/Policial (Post no universitario)5000;No obtuvo;No pobre
1900000;Superior Universitario;No pobre
1000000;Especialización (Post universitario);No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
0;Maestría (Post universitario);No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
2500000;Educación Media;No pobre
2500000;Superior Universitario;No pobre
2000000;Técnica Superior;No pobre
0;No obtuvo;No pobre
1500000;EEB (1º y 2º ciclo);No pobre
3000000;EEB (1º y 2º ciclo);No pobre
2500000;No obtuvo;No pobre
980000;No obtuvo;Pobre no extremo
Militar/Policial (Post no universitario)00000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
Militar/Policial (Post no universitario)00000;No obtuvo;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;Pobre no extremo
4000000;Técnica Superior;No pobre
0;No obtuvo;No pobre
4900000;EEB (1º y 2º ciclo);No pobre
0;EEB (1º y 2º ciclo);No pobre
0;EEB (1º y 2º ciclo);Pobre extremo
500000;Especialización (Post universitario);No pobre
0;Superior Universitario;Pobre no extremo
0;No obtuvo;No pobre
0;Técnica Superior;No pobre
4200000;Maestría (Post universitario);No pobre
5600000;Maestría (Post universitario);No pobre
2500000;No obtuvo;No pobre
Militar/Policial (Post no universitario)50000;No obtuvo;No pobre
5000000;EEB (1º y 2º ciclo);No pobre
550000;Educación Inicial;No pobre
1000000;No obtuvo;No pobre
8850000;Militar/Policial;No pobre
4320000;Superior Universitario;No pobre
1500000;No obtuvo;No pobre
5600000;Superior Universitario;No pobre
2000000;Maestría (Post universitario);No pobre
Militar/Policial (Post no universitario)60000;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
1760000;No obtuvo;No pobre
3700000;No obtuvo;No pobre
2600000;No obtuvo;No pobre
0;Superior Universitario;No pobre
1800000;No obtuvo;No pobre
5800000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5200000;Superior Universitario;No pobre
0;No obtuvo;No pobre
5500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
3820000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
1800000;Superior Universitario;No pobre
600000;Educación Media;No pobre
2230000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;Pobre no extremo
0;Superior Universitario;Pobre no extremo
1900000;Superior Universitario;No pobre
0;No obtuvo;No pobre
1500000;Superior Universitario;No pobre
6000000;EEB (1º y 2º ciclo);No pobre
5000000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
3600000;Superior Universitario;No pobre
3Militar/Policial (Post no universitario)0000;No obtuvo;No pobre
3520000;No obtuvo;No pobre
0;No obtuvo;No pobre
2450000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
500000;No obtuvo;No pobre
0;No obtuvo;No pobre
1000000;No obtuvo;No pobre
0;Superior Universitario;Pobre no extremo
600000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
2180000;EEB (1º y 2º ciclo);No pobre
4200000;Superior Universitario;No pobre
0;Técnica Superior;No pobre
5080000;Maestría (Post universitario);No pobre
3500000;Superior Universitario;No pobre
4690000;Superior Universitario;No pobre
0;EEB (3er ciclo);No pobre
0;EEB (1º y 2º ciclo);No pobre
2500000;Superior Universitario;No pobre
220000;EEB (1º y 2º ciclo);Pobre no extremo
0;EEB (1º y 2º ciclo);No pobre
1500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5700000;Formación Docente (Post no universitario);No pobre
3500000;Militar/Policial;No pobre
1920000;Técnica Superior;No pobre
0;No obtuvo;No pobre
0;Educación Inicial;No pobre
1000000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
6500000;Superior Universitario;No pobre
3000000;No obtuvo;No pobre
3600000;Superior Universitario;No pobre
6660000;Superior Universitario;No pobre
3000000;Especialización (Post universitario);No pobre
6000000;EEB (1º y 2º ciclo);No pobre
600000;No obtuvo;Pobre no extremo
0;Superior Universitario;No pobre
2660000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
Militar/Policial (Post no universitario)00000;No obtuvo;No pobre
0;Superior Universitario;No pobre
4600000;Militar/Policial;No pobre
0;Superior Universitario;No pobre
3080000;Superior Universitario;No pobre
1500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2800000;EEB (1º y 2º ciclo);No pobre
0;Superior Universitario;Pobre extremo
2620000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
5500000;EEB (1º y 2º ciclo);No pobre
Militar/Policial (Post no universitario)0000;Superior Universitario;No pobre
930000;No obtuvo;No pobre
930000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
4000000;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
2800000;Superior Universitario;No pobre
2000000;No obtuvo;No pobre
4600000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
3000000;No obtuvo;No pobre
2800000;No obtuvo;No pobre
3500000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
2800000;No obtuvo;No pobre
0;Superior Universitario;Pobre no extremo
0;No obtuvo;No pobre
4400000;Superior Universitario;No pobre
800000;Superior Universitario;No pobre
1500000;Maestría (Post universitario);No pobre
2300000;No obtuvo;No pobre
0;Técnica Superior;No pobre
1580000;No obtuvo;No pobre
0;No obtuvo;No pobre
5160000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
2500000;No obtuvo;No pobre
0;Superior Universitario;Pobre extremo
3000000;Superior Universitario;No pobre
Militar/Policial (Post no universitario)000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
1000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
4740000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
500000;No obtuvo;Pobre no extremo
2400000;EEB (1º y 2º ciclo);No pobre
2500000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;Pobre no extremo
4000000;Educación Media;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;Superior Universitario;No pobre
1000000;Superior Universitario;No pobre
5060000;Superior Universitario;No pobre
3000000;EEB (1º y 2º ciclo);No pobre
5200000;Educación Inicial;No pobre
10000000;No obtuvo;No pobre
2000000;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
4950000;Superior Universitario;No pobre
0;Superior Universitario;Pobre no extremo
No obtuvo00000;Superior Universitario;Pobre no extremo
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
10No Técnico Superior (Post no universitario)2000;Superior Universitario;No pobre
6500000;Superior Universitario;No pobre
6300000;Superior Universitario;No pobre
7000000;Superior Universitario;No pobre
1000000;No obtuvo;No pobre
2300000;Técnica Superior;No pobre
3400000;No obtuvo;No pobre
500000;EEB (1º y 2º ciclo);No pobre
0;EEB (1º y 2º ciclo);No pobre
2500000;No obtuvo;No pobre
3100000;No obtuvo;No pobre
2800000;Técnica Superior;No pobre
1720000;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
2803878;Superior Universitario;No pobre
640000;No obtuvo;No pobre
2500000;Superior Universitario;No pobre
2500000;Maestría (Post universitario);No pobre
1000000;No obtuvo;No pobre
2300000;No obtuvo;No pobre
4320000;Superior Universitario;No pobre
1500000;No obtuvo;No pobre
3318182;Superior Universitario;No pobre
2851887;No obtuvo;No pobre
1500000;EEB (1º y 2º ciclo);No pobre
5000000;Especialización (Post universitario);No pobre
2184000;Superior Universitario;No pobre
6280000;EEB (1º y 2º ciclo);No pobre
2930000;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
No Técnico Superior (Post no universitario)00000;Superior Universitario;No pobre
2000000;Educación Media;No pobre
0;Superior Universitario;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
2200000;No obtuvo;No pobre
0;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
2500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
6000000;Superior Universitario;No pobre
840000;No obtuvo;No pobre
2500000;Superior Universitario;No pobre
2800000;Superior Universitario;No pobre
2000000;Superior Universitario;No pobre
9880000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
7960000;Especialización (Post universitario);No pobre
0;Superior Universitario;No pobre
2400000;No obtuvo;No pobre
0;No obtuvo;Pobre extremo
2400000;Educación Media;No pobre
2000000;No obtuvo;No pobre
2200000;Superior Universitario;No pobre
6000000;Militar/Policial;No pobre
2500000;Superior Universitario;No pobre
600000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2500000;Técnica Superior;No pobre
0;No obtuvo;No pobre
No Técnico Superior (Post no universitario)50000;EEB (1º y 2º ciclo);No pobre
2300000;Superior Universitario;No pobre
No obtuvo00000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
2800000;Especialización (Post universitario);No pobre
0;Educación Media;No pobre
0;Superior Universitario;Pobre no extremo
0;Superior Universitario;No pobre
3500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
3000000;No obtuvo;No pobre
1800000;Superior Universitario;No pobre
4000000;Militar/Policial;No pobre
0;Superior Universitario;No pobre
800000;No obtuvo;No pobre
4000000;Superior Universitario;No pobre
3500000;Militar/Policial;No pobre
5000000;Militar/Policial;No pobre
3700000;EEB (1º y 2º ciclo);No pobre
4000000;EEB (1º y 2º ciclo);No pobre
7000000;Especialización (Post universitario);No pobre
0;Superior Universitario;No pobre
3000000;Técnica Superior;No pobre
3000000;Superior Universitario;No pobre
3700000;Superior Universitario;No pobre
0;No obtuvo;No pobre
1500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;Pobre no extremo
0;EEB (1º y 2º ciclo);No pobre
3000000;EEB (1º y 2º ciclo);No pobre
0;Superior Universitario;No pobre
0;Técnica Superior;No pobre
2608000;Educación Media;No pobre
0;No obtuvo;No pobre
3100000;Técnica Superior;No pobre
0;No obtuvo;Pobre no extremo
3000000;Técnica Superior;Pobre no extremo
300000;No obtuvo;Pobre no extremo
700000;EEB (3er ciclo);No pobre
5240000;Educación Inicial;No pobre
0;EEB (1º y 2º ciclo);No pobre
0;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
600000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
0;No obtuvo;Pobre no extremo
5000000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5000000;Educación Media;No pobre
1500000;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);No pobre
5000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
7000000;Superior Universitario;No pobre
40000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2680000;Superior Universitario;No pobre
2000000;No obtuvo;No pobre
0;Militar/Policial;No pobre
3500000;Superior Universitario;No pobre
750000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
5100000;Superior Universitario;No pobre
4600000;Superior Universitario;No pobre
3449000;No obtuvo;No pobre
